""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V1"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"	"transcript_type"
"463"	"helq"	33.247593612194	0.884394131005319	0.183620621184453	4.80602843195006	1.53958014097585e-06	2.50371631446139e-05	"XM_060049694.1"	"Q8TDG4"	0	"Helicase POLQ-like (EC 3.6.4.12) (Mus308-like helicase) (POLQ-like helicase)"	"Homo sapiens (Human)"	"DNA double-strand break processing involved in repair via single-strand annealing [GO:0010792]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via synthesis-dependent strand annealing [GO:0045003]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; rRNA processing [GO:0006364]"	"GO:0000724; GO:0003677; GO:0005524; GO:0005634; GO:0006364; GO:0010792; GO:0016887; GO:0045003; GO:0090734; GO:0097681; GO:1905168; GO:1990518"	"mRNA"
"464"	"LOC132456682"	11.2863721266468	-1.05205067646032	0.267737879308883	-3.93046550224213	8.4781557929029e-05	0.000676108454820503	NA	NA	NA	NA	NA	NA	NA	NA
"465"	"mfhas1"	658.77284094484	0.722084767205407	0.189613256986	3.80794874433765	0.00014012430683922	0.00101377956204405	"XM_060049706.1"	"A4IIK1"	0	"Malignant fibrous histiocytoma-amplified sequence 1 homolog"	"Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)"	"inflammatory response [GO:0006954]; innate immune response [GO:0045087]; regulation of signal transduction [GO:0009966]"	"GO:0005525; GO:0005737; GO:0006954; GO:0009966; GO:0045087"	"mRNA"
"466"	"LOC132455753"	8.3252655518495	0.878442901043333	0.278010181919363	3.16195143262495	0.00156715699609178	0.00719176823325129	NA	NA	NA	NA	NA	NA	NA	NA
"467"	"ppp1r3b"	191.130095254191	0.795009597940868	0.234844863570812	3.38590172744328	0.00070944784721914	0.0038101630772902	"XM_060049709.1"	"Q803M0"	2.49e-79	"Protein phosphatase 1 regulatory subunit 3B"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"glycogen metabolic process [GO:0005977]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]"	"GO:0000164; GO:0005977; GO:0005979; GO:0005981; GO:0008157; GO:0019888; GO:2001069"	"mRNA"
"468"	"LOC132455763"	569.596598926823	-0.723206624506685	0.180184476273426	-4.01396188390713	5.97079925196518e-05	0.000511893699462216	"XM_060049723.1"	"Q2PKF4"	0	"Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q)"	"Sus scrofa (Pig)"	"action potential [GO:0001508]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; entrainment of circadian clock [GO:0009649]; G protein-coupled acetylcholine receptor signaling pathway [GO:0007213]; glutamate receptor signaling pathway [GO:0007215]; negative regulation of protein kinase activity [GO:0006469]; phototransduction, visible light [GO:0007603]; protein stabilization [GO:0050821]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of platelet activation [GO:0010543]"	"GO:0001508; GO:0001664; GO:0001750; GO:0003924; GO:0005096; GO:0005525; GO:0005794; GO:0005834; GO:0006469; GO:0007188; GO:0007189; GO:0007213; GO:0007215; GO:0007603; GO:0009649; GO:0010543; GO:0016020; GO:0031683; GO:0031965; GO:0045202; GO:0046872; GO:0050821; GO:0060828"	"mRNA"
"469"	"LOC132455768"	265.562671601108	-0.809651389784302	0.244990754069868	-3.30718427378655	0.000942388772653406	0.00479491109649607	"XM_060049729.1"	"Q5ZIQ3"	6.19e-99	"Heterogeneous nuclear ribonucleoprotein K (hnRNP K)"	"Gallus gallus (Chicken)"	"mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of gene expression [GO:0010468]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA splicing [GO:0008380]"	"GO:0000785; GO:0003677; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0005737; GO:0006357; GO:0006397; GO:0008380; GO:0010468; GO:0045892; GO:0048024; GO:1990904"	"mRNA"
"470"	"LOC132455770"	370.526216481787	-0.700539541376446	0.126778179999844	-5.52553576927133	3.28481642985251e-08	9.53385287321815e-07	"XM_060049730.1"	"Q7T321"	1.52e-112	"E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase KCMF1)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"macromolecule metabolic process [GO:0043170]; nitrogen compound metabolic process [GO:0006807]; primary metabolic process [GO:0044238]; synaptic signaling [GO:0099536]"	"GO:0005886; GO:0006807; GO:0008270; GO:0016740; GO:0043170; GO:0044238; GO:0045202; GO:0099536"	"mRNA"
"471"	"LOC132455771"	126.842062835824	-0.930530707858432	0.192258653616502	-4.84032872853487	1.29624529616349e-06	2.16130278921237e-05	"XM_060049731.1"	"P56199"	1.09e-52	"Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a)"	"Homo sapiens (Human)"	"cell adhesion mediated by integrin [GO:0033627]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cellular extravasation [GO:0045123]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; neuron projection morphogenesis [GO:0048812]; neutrophil chemotaxis [GO:0030593]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; vasodilation [GO:0042311]"	"GO:0001669; GO:0005178; GO:0005518; GO:0005886; GO:0005925; GO:0007160; GO:0007229; GO:0008285; GO:0008305; GO:0009897; GO:0009986; GO:0016020; GO:0019903; GO:0030593; GO:0032516; GO:0033627; GO:0034665; GO:0042059; GO:0042311; GO:0043005; GO:0043204; GO:0043410; GO:0043525; GO:0045121; GO:0045123; GO:0045178; GO:0046872; GO:0048812; GO:0070062; GO:0098609; GO:0098639"	"transcript variant X1, mRNA"
"472"	"LOC132455784"	9781.54146599415	-0.80373694519146	0.234453889729373	-3.42927655361988	0.00060519252448742	0.00334690154792776	"XM_060049751.1"	"P27615"	7.59e-125	"Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36)"	"Rattus norvegicus (Rat)"	"aminophospholipid transport [GO:0015917]; gene expression [GO:0010467]; positive regulation of neuron projection development [GO:0010976]; protein targeting to lysosome [GO:0006622]; receptor-mediated endocytosis [GO:0006898]; regulation of cellular carbohydrate catabolic process [GO:0043471]; regulation of glucosylceramidase activity [GO:1905123]; sensory perception of sound [GO:0007605]"	"GO:0001786; GO:0005044; GO:0005737; GO:0005765; GO:0005886; GO:0006622; GO:0006898; GO:0007605; GO:0010467; GO:0010976; GO:0015485; GO:0015917; GO:0019899; GO:0030666; GO:0031210; GO:0038024; GO:0042803; GO:0043202; GO:0043471; GO:0051087; GO:1905123"	"transcript variant X1, mRNA"
"473"	"pus1"	80.0932519152256	0.975256304917592	0.145788094065654	6.68365140019151	2.33060835919465e-11	1.60989546945131e-09	"XM_060049766.1"	"Q9WU56"	4.62e-174	"Pseudouridylate synthase 1 homolog (EC 5.4.99.-) (tRNA pseudouridine synthase 1) (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)"	"Mus musculus (Mouse)"	"mRNA processing [GO:0006397]; mRNA pseudouridine synthesis [GO:1990481]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA splicing [GO:0008380]; tRNA pseudouridine synthesis [GO:0031119]"	"GO:0000049; GO:0002153; GO:0003682; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0005737; GO:0005739; GO:0006397; GO:0008380; GO:0009982; GO:0030374; GO:0031119; GO:0045944; GO:0106029; GO:1990481"	"mRNA"
"474"	"LOC132455811"	9.50458076639217	-1.13679523453285	0.247603542272388	-4.55829520307406	5.15705178214445e-06	6.70541740738534e-05	NA	NA	NA	NA	NA	NA	NA	NA
"475"	"syk"	101.724652963872	-0.815853274732201	0.210203956044986	-3.88269243910757	0.000103306200838624	0.000791166958320248	"XM_060049828.1"	"P43405"	0	"Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)"	"Homo sapiens (Human)"	"adaptive immune response [GO:0002250]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; B cell differentiation [GO:0030183]; B cell receptor signaling pathway [GO:0050853]; beta selection [GO:0043366]; blood vessel morphogenesis [GO:0048514]; calcium-mediated signaling [GO:0019722]; cell activation [GO:0001775]; cell differentiation [GO:0030154]; cellular response to lectin [GO:1990858]; cellular response to lipid [GO:0071396]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to molecule of fungal origin [GO:0071226]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; defense response to bacterium [GO:0042742]; Fc-epsilon receptor signaling pathway [GO:0038095]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; gamma-delta T cell differentiation [GO:0042492]; innate immune response [GO:0045087]; integrin-mediated signaling pathway [GO:0007229]; interleukin-3-mediated signaling pathway [GO:0038156]; intracellular signal transduction [GO:0035556]; leukocyte activation involved in immune response [GO:0002366]; leukocyte cell-cell adhesion [GO:0007159]; leukotriene biosynthetic process [GO:0019370]; lymph vessel development [GO:0001945]; macrophage activation involved in immune response [GO:0002281]; mast cell degranulation [GO:0043303]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; neutrophil activation involved in immune response [GO:0002283]; neutrophil chemotaxis [GO:0030593]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet activation [GO:0030168]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of bone resorption [GO:0045780]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of granulocyte macrophage colony-stimulating factor production [GO:0032725]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-3 production [GO:0032752]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of killing of cells of another organism [GO:0051712]; positive regulation of mast cell cytokine production [GO:0032765]; positive regulation of mast cell degranulation [GO:0043306]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of receptor internalization [GO:0002092]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein phosphorylation [GO:0006468]; receptor internalization [GO:0031623]; regulation of arachidonic acid secretion [GO:0090237]; regulation of DNA-binding transcription factor activity [GO:0051090]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of neutrophil degranulation [GO:0043313]; regulation of phagocytosis [GO:0050764]; regulation of platelet activation [GO:0010543]; regulation of platelet aggregation [GO:0090330]; regulation of superoxide anion generation [GO:0032928]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; serotonin secretion by platelet [GO:0002554]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]"	"GO:0001525; GO:0001775; GO:0001784; GO:0001945; GO:0002092; GO:0002223; GO:0002250; GO:0002281; GO:0002283; GO:0002366; GO:0002554; GO:0002862; GO:0004672; GO:0004674; GO:0004713; GO:0004715; GO:0005102; GO:0005178; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0006606; GO:0007159; GO:0007169; GO:0007229; GO:0009887; GO:0010543; GO:0010803; GO:0016170; GO:0018105; GO:0018108; GO:0019370; GO:0019722; GO:0019815; GO:0019901; GO:0019902; GO:0030154; GO:0030168; GO:0030183; GO:0030593; GO:0031234; GO:0031334; GO:0031623; GO:0032009; GO:0032481; GO:0032725; GO:0032733; GO:0032735; GO:0032752; GO:0032753; GO:0032755; GO:0032757; GO:0032760; GO:0032765; GO:0032928; GO:0032930; GO:0032991; GO:0033630; GO:0035325; GO:0035556; GO:0038063; GO:0038095; GO:0038096; GO:0038156; GO:0042101; GO:0042169; GO:0042492; GO:0042742; GO:0043274; GO:0043280; GO:0043303; GO:0043306; GO:0043313; GO:0043366; GO:0043507; GO:0045087; GO:0045579; GO:0045588; GO:0045780; GO:0046638; GO:0046641; GO:0046777; GO:0048514; GO:0050731; GO:0050764; GO:0050850; GO:0050853; GO:0051090; GO:0051712; GO:0070372; GO:0071226; GO:0071396; GO:0071404; GO:0071639; GO:0090237; GO:0090330; GO:0097110; GO:0120162; GO:0140677; GO:1990858"	"transcript variant X1, mRNA"
"476"	"LOC132455839"	109.953989279837	-0.653710952415896	0.257257622993906	-2.54329142154369	0.0109813598120912	0.0335668746473689	"XM_060049859.1"	"Q9Y2P4"	0	"Long-chain fatty acid transport protein 6 (FATP-6) (Fatty acid transport protein 6) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty-acid-coenzyme A ligase, very long-chain 2) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Solute carrier family 27 member 6) (Very long-chain acyl-CoA synthetase homolog 1) (VLCSH1) (hVLCS-H1) (EC 6.2.1.-)"	"Homo sapiens (Human)"	"long-chain fatty acid transport [GO:0015909]; very long-chain fatty acid metabolic process [GO:0000038]"	"GO:0000038; GO:0000166; GO:0004467; GO:0005324; GO:0005886; GO:0015245; GO:0015909; GO:0031957; GO:0042383; GO:0047676; GO:1901480"	"mRNA"
"477"	"LOC132454846"	10.5741099598803	-1.26716527305215	0.286353703754813	-4.44836114147442	8.65279588857538e-06	0.000102546942123917	"XM_060048396.1"	"O00482"	1.66e-149	"Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)"	"Homo sapiens (Human)"	"acinar cell differentiation [GO:0090425]; bile acid metabolic process [GO:0008206]; calcineurin-mediated signaling [GO:0097720]; cellular response to leukemia inhibitory factor [GO:1990830]; cholesterol homeostasis [GO:0042632]; embryo development ending in birth or egg hatching [GO:0009792]; homeostatic process [GO:0042592]; hormone-mediated signaling pathway [GO:0009755]; pancreas morphogenesis [GO:0061113]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of viral genome replication [GO:0045070]; regulation of cell population proliferation [GO:0042127]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; tissue development [GO:0009888]"	"GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001221; GO:0001228; GO:0003677; GO:0003682; GO:0003700; GO:0004879; GO:0005543; GO:0005634; GO:0005654; GO:0005737; GO:0006355; GO:0006357; GO:0008206; GO:0008270; GO:0009755; GO:0009792; GO:0009888; GO:0042127; GO:0042592; GO:0042632; GO:0043565; GO:0045070; GO:0045893; GO:0045944; GO:0061113; GO:0090425; GO:0090575; GO:0097720; GO:1990830; GO:1990837"	"mRNA"
"478"	"psmb7"	461.485594784072	-0.739677470849428	0.164288094301923	-4.50240090461749	6.71900856875374e-06	8.29797624050558e-05	"XM_060049865.1"	"Q9JHW0"	2.75e-163	"Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z)"	"Rattus norvegicus (Rat)"	"proteasomal protein catabolic process [GO:0010498]"	"GO:0000502; GO:0004175; GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0010498; GO:0019774"	"transcript variant X1, mRNA"
"479"	"ralgps1"	430.069653903254	-0.694425503016907	0.218905896018664	-3.17295708453759	0.00150894827306921	0.00697317733327239	"XM_060049878.1"	"B0UXH6"	0	"Ras-specific guanine nucleotide-releasing factor RalGPS1 (Ral GEF with PH domain and SH3-binding motif 1) (RalA exchange factor RalGPS1)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"positive regulation of GTPase activity [GO:0043547]; Ras protein signal transduction [GO:0007265]"	"GO:0005085; GO:0005737; GO:0005886; GO:0007265; GO:0043547"	"transcript variant X1, mRNA"
"480"	"scai"	38.0361495704454	0.882987920214316	0.21365532721873	4.12814022068336	3.65709089599428e-05	0.000343097321663047	"XM_060049882.1"	"Q8C8N2"	0	"Protein SCAI (Suppressor of cancer cell invasion protein)"	"Mus musculus (Mouse)"	"negative regulation of cell migration [GO:0030336]; negative regulation of Rho protein signal transduction [GO:0035024]"	"GO:0003714; GO:0005634; GO:0005654; GO:0005737; GO:0030336; GO:0031965; GO:0035024"	"mRNA"
"481"	"uap1l1"	531.844245590207	-0.874347197479233	0.116638742489927	-7.49608222593391	6.57535517448306e-14	8.75065157440837e-12	"XM_060049890.1"	"Q7ZWD4"	0	"UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 (EC 2.7.7.-)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"UDP-N-acetylglucosamine biosynthetic process [GO:0006048]"	"GO:0003977; GO:0006048"	"mRNA"
"482"	"pip5kl1"	25.5848718378725	-0.699697449099892	0.190382783575381	-3.67366068101674	0.000239100203461144	0.00157093119307729	"XM_060049906.1"	"Q5T9C9"	1.26e-105	"Phosphatidylinositol 4-phosphate 5-kinase-like protein 1 (PI(4)P 5-kinase-like protein 1) (PtdIns(4)P-5-kinase-like protein 1) (EC 2.7.1.68)"	"Homo sapiens (Human)"	"negative regulation of cell migration [GO:0030336]; negative regulation of mitochondrial membrane potential [GO:0010917]; negative regulation of protein phosphorylation [GO:0001933]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; phosphorylation [GO:0016310]; positive regulation of apoptotic process [GO:0043065]"	"GO:0001933; GO:0005524; GO:0005829; GO:0005886; GO:0010917; GO:0016308; GO:0016310; GO:0030336; GO:0042995; GO:0043065; GO:0046854"	"transcript variant X1, mRNA"
"483"	"sh3glb2b"	47.0323232335365	-0.809106259629309	0.122826153893213	-6.582596995691	4.6230100799918e-11	2.915712357407e-09	"XM_060049910.1"	"Q5ZJ81"	2.47e-179	"Endophilin-B2 (SH3 domain-containing GRB2-like protein B2)"	"Gallus gallus (Chicken)"	"membrane organization [GO:0061024]"	"GO:0005737; GO:0016020; GO:0061024"	"transcript variant X1, mRNA"
"484"	"nadk2"	215.338800340269	0.58451609108726	0.143089623693926	4.08400922298117	4.42652726854433e-05	0.000401571010365879	"XM_060049947.1"	"Q08CZ6"	0	"NAD kinase 2, mitochondrial (EC 2.7.1.23) (NAD kinase domain-containing protein 1, mitochondrial)"	"Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)"	"NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]; phosphorylation [GO:0016310]"	"GO:0003951; GO:0005524; GO:0005739; GO:0006741; GO:0016310; GO:0019674; GO:0042803"	"transcript variant X1, mRNA"
"485"	"skp2"	21.1091219844899	-1.77794946031049	0.269604057935823	-6.59878835743352	4.14531573929946e-11	2.66070575726894e-09	"XM_060049954.1"	"Q9Z0Z3"	3.16e-81	"S-phase kinase-associated protein 2 (Cyclin-A/CDK2-associated protein p45) (F-box protein Skp2) (F-box/WD-40 protein 1) (FWD1)"	"Mus musculus (Mouse)"	"defense response to virus [GO:0051607]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; innate immune response [GO:0045087]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of protein polyubiquitination [GO:1902916]; positive regulation of smooth muscle cell proliferation [GO:0048661]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]"	"GO:0000082; GO:0000086; GO:0000209; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006511; GO:0019005; GO:0031146; GO:0033148; GO:0042802; GO:0042981; GO:0043161; GO:0045087; GO:0048661; GO:0051607; GO:0051726; GO:0070936; GO:1902916"	"mRNA"
"486"	"fpgs"	382.185375147492	0.673734029502654	0.188405345344833	3.57560690134033	0.000349416356698067	0.00213956676667883	"XM_060049944.1"	"A6H751"	0	"Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolate synthase) (Tetrahydrofolylpolyglutamate synthase)"	"Bos taurus (Bovine)"	"folic acid-containing compound biosynthetic process [GO:0009396]; one-carbon metabolic process [GO:0006730]; tetrahydrofolylpolyglutamate biosynthetic process [GO:0046901]"	"GO:0004326; GO:0005524; GO:0005737; GO:0005739; GO:0005743; GO:0005759; GO:0005829; GO:0006730; GO:0009396; GO:0046872; GO:0046901"	"transcript variant X1, mRNA"
"487"	"gal3st1b"	84.9885602107303	0.654858645532192	0.165358953350545	3.95939080379288	7.51411911814579e-05	0.000614129703148318	"XM_060049970.1"	"Q99999"	7.63e-138	"Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase)"	"Homo sapiens (Human)"	"galactosylceramide biosynthetic process [GO:0006682]; galactosylceramide metabolic process [GO:0006681]; glycerolipid metabolic process [GO:0046486]; myelination [GO:0042552]; protein N-linked glycosylation [GO:0006487]; spermatogenesis [GO:0007283]; sphingolipid metabolic process [GO:0006665]"	"GO:0000139; GO:0001733; GO:0005886; GO:0006487; GO:0006665; GO:0006681; GO:0006682; GO:0007283; GO:0008146; GO:0016020; GO:0042552; GO:0046486; GO:0050694"	"transcript variant X1, mRNA"
"488"	"cplane1"	15.12199494688	-0.821639638444838	0.257478261641146	-3.19100333696417	0.00141779642707996	0.00661600079249012	"XM_060049993.1"	"Q9H799"	0	"Ciliogenesis and planar polarity effector 1 (Protein JBTS17)"	"Homo sapiens (Human)"	"cilium assembly [GO:0060271]"	"GO:0016020; GO:0035869; GO:0060271"	"mRNA"
"489"	"bmpr1bb"	57.6325427022534	-0.584979144732014	0.239514136964387	-2.44337662081008	0.0145505438533083	0.0420458544095797	"XM_060049986.1"	"O00238"	0	"Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)"	"Homo sapiens (Human)"	"BMP signaling pathway [GO:0030509]; cartilage condensation [GO:0001502]; cellular response to BMP stimulus [GO:0071773]; cellular response to growth factor stimulus [GO:0071363]; central nervous system neuron differentiation [GO:0021953]; chondrocyte development [GO:0002063]; dorsal/ventral pattern formation [GO:0009953]; endochondral bone morphogenesis [GO:0060350]; eye development [GO:0001654]; inflammatory response [GO:0006954]; negative regulation of chondrocyte proliferation [GO:1902731]; osteoblast differentiation [GO:0001649]; ovarian cumulus expansion [GO:0001550]; ovulation cycle [GO:0042698]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cartilage development [GO:0061036]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of gene expression [GO:0010628]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; proteoglycan biosynthetic process [GO:0030166]; retina development in camera-type eye [GO:0060041]; retinal ganglion cell axon guidance [GO:0031290]"	"GO:0001502; GO:0001550; GO:0001649; GO:0001654; GO:0002063; GO:0004674; GO:0004675; GO:0005025; GO:0005524; GO:0005886; GO:0006468; GO:0006954; GO:0009953; GO:0010628; GO:0019211; GO:0021953; GO:0030166; GO:0030501; GO:0030509; GO:0031290; GO:0032332; GO:0036122; GO:0042698; GO:0043235; GO:0043539; GO:0045669; GO:0045944; GO:0046332; GO:0046872; GO:0060041; GO:0060350; GO:0061036; GO:0071363; GO:0071773; GO:0098821; GO:0140537; GO:1902043; GO:1902731; GO:1990712"	"transcript variant X1, mRNA"
"490"	"LOC132455950"	116.324723254491	-0.645807586784061	0.1983707951974	-3.25652566678398	0.00112784733033932	0.00554219287733815	"XM_060050054.1"	"O76050"	3.14e-22	"E3 ubiquitin-protein ligase NEURL1 (EC 2.3.2.27) (Neuralized-like protein 1A) (h-neu) (h-neuralized 1) (RING finger protein 67) (RING-type E3 ubiquitin transferase NEURL1)"	"Homo sapiens (Human)"	"brain development [GO:0007420]; cellular response to amino acid stimulus [GO:0071230]; lactation [GO:0007595]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of Notch signaling pathway [GO:0045746]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; positive regulation of apoptotic process [GO:0043065]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of epidermal growth factor-activated receptor activity [GO:0045741]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of long-term neuronal synaptic plasticity [GO:0048170]; positive regulation of synapse maturation [GO:0090129]; protein monoubiquitination [GO:0006513]; skeletal muscle tissue development [GO:0007519]; sperm axoneme assembly [GO:0007288]"	"GO:0004842; GO:0005886; GO:0006513; GO:0007219; GO:0007288; GO:0007399; GO:0007420; GO:0007519; GO:0007595; GO:0008285; GO:0014069; GO:0043065; GO:0043197; GO:0043204; GO:0045183; GO:0045741; GO:0045746; GO:0046872; GO:0048170; GO:0048471; GO:0051491; GO:0060999; GO:0061630; GO:0071230; GO:0090129; GO:0097440"	"mRNA"
"491"	"rab11fip1b"	798.284935356036	-0.661268477025935	0.141986552714248	-4.65716393025604	3.20595162913177e-06	4.53712530070101e-05	"XM_060050055.1"	"G3XA57"	2.95e-54	"Rab11 family-interacting protein 2 (Rab11-FIP2)"	"Mus musculus (Mouse)"	"establishment of cell polarity [GO:0030010]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; phagocytosis [GO:0006909]; positive regulation of GTPase activity [GO:0043547]; positive regulation of protein localization to plasma membrane [GO:1903078]; regulated exocytosis [GO:0045055]; TRAM-dependent toll-like receptor 4 signaling pathway [GO:0035669]"	"GO:0001891; GO:0005654; GO:0005768; GO:0006909; GO:0019901; GO:0030010; GO:0031267; GO:0035669; GO:0035773; GO:0042802; GO:0042803; GO:0043231; GO:0043547; GO:0045055; GO:0055038; GO:1903078"	"transcript variant X1, mRNA"
